code_creditor,person_age,loan_rate,nominal_loan,default_before,loan_purpose
L108,23,9.25,17500000,N,EDUCATION
L061,25,8.94,5000000,N,PERSONAL
L008,22,8.94,3000000,N,EDUCATION
L016,21,8.94,15000000,N,EDUCATION
L042,24,8.9,35000000,N,PERSONAL
L109,26,8.9,28000000,N,EDUCATION
L080,23,8.9,21000000,N,DEBTCONSOLIDATION
L149,26,8.9,2600000,N,VENTURE
L143,24,8.9,18000000,N,DEBTCONSOLIDATION
L001,25,8.9,25000000,N,PERSONAL
L060,25,8.9,24000000,N,EDUCATION
L084,26,8.9,21000000,N,HOMEIMPROVEMENT
L101,23,8.9,3000000,N,PERSONAL
L135,24,8.9,20000000,N,VENTURE
L071,21,8.9,7000000,N,MEDICAL
L089,23,8.9,19000000,N,VENTURE
L076,23,8.9,18400000,N,PERSONAL
L050,23,8.9,17625000,N,DEBTCONSOLIDATION
L091,24,8.88,20000000,N,HOMEIMPROVEMENT
L150,25,8.88,20000000,N,HOMEIMPROVEMENT
L062,25,8.88,20000000,N,PERSONAL
L129,24,8.88,20000000,N,HOMEIMPROVEMENT
L105,25,8.88,20000000,N,EDUCATION
L031,22,8.88,19000000,N,MEDICAL
L069,24,8.88,18200000,N,VENTURE
L034,23,8.88,18000000,N,PERSONAL
L084,21,8.7,5000000,N,EDUCATION
L098,21,8.63,4500000,N,HOMEIMPROVEMENT
L064,23,8.63,7500000,N,DEBTCONSOLIDATION
L118,24,8.49,10000000,N,EDUCATION
L042,23,8.49,2800000,N,PERSONAL
L042,22,8.49,3625000,N,MEDICAL
L123,21,8.49,6000000,N,MEDICAL
L134,23,8.49,18000000,N,VENTURE
L138,26,8.49,18000000,N,VENTURE
L072,24,8.49,18000000,N,DEBTCONSOLIDATION
L106,23,8.49,17000000,N,PERSONAL
L141,23,8.38,7200000,N,EDUCATION
L137,22,8.38,2100000,N,EDUCATION
L063,26,8,10000000,N,HOMEIMPROVEMENT
L068,26,8,7000000,N,HOMEIMPROVEMENT
L017,23,7.9,35000000,N,VENTURE
L092,23,7.9,35000000,N,EDUCATION
L089,23,7.9,35000000,N,EDUCATION
L022,25,7.9,30000000,N,EDUCATION
L035,23,7.9,28000000,N,EDUCATION
L036,23,7.9,25000000,N,DEBTCONSOLIDATION
L090,23,7.9,4950000,N,DEBTCONSOLIDATION
L126,23,7.9,25000000,N,EDUCATION
L035,21,7.9,6200000,N,HOMEIMPROVEMENT
L026,25,7.9,8000000,N,HOMEIMPROVEMENT
L148,23,7.9,6000000,N,MEDICAL
L001,26,7.9,30000000,N,VENTURE
L100,26,7.9,24000000,N,PERSONAL
L021,26,7.9,24000000,N,DEBTCONSOLIDATION
L113,22,7.9,3000000,N,PERSONAL
L085,24,7.9,21600000,N,MEDICAL
L139,24,7.9,21000000,N,HOMEIMPROVEMENT
L010,26,7.9,21000000,N,EDUCATION
L032,22,7.9,20000000,N,EDUCATION
L081,23,7.9,20000000,N,MEDICAL
L082,23,7.9,20000000,N,MEDICAL
L140,24,7.9,18500000,N,HOMEIMPROVEMENT
L129,21,7.9,3000000,N,VENTURE
L110,22,7.9,5000000,N,EDUCATION
L009,24,7.9,18000000,N,MEDICAL
L133,24,7.9,18000000,N,VENTURE
L013,21,7.9,18000000,N,VENTURE
L062,26,7.9,17500000,N,PERSONAL
L019,26,7.88,20000000,N,VENTURE
L014,26,7.88,12000000,N,EDUCATION
L078,24,7.88,13000000,N,PERSONAL
L130,23,7.88,22000000,N,DEBTCONSOLIDATION
L124,22,7.88,20000000,N,EDUCATION
L043,23,7.88,9000000,N,VENTURE
L127,25,7.88,6400000,N,PERSONAL
L015,24,7.88,18000000,N,VENTURE
L004,26,7.74,1500000,N,PERSONAL
L052,26,7.68,5000000,N,PERSONAL
L013,23,7.66,35000000,N,PERSONAL
L042,23,7.66,20000000,N,DEBTCONSOLIDATION
L150,21,7.66,7350000,N,VENTURE
L008,22,7.66,18500000,N,MEDICAL
L057,26,7.66,5000000,N,MEDICAL
L148,22,7.66,17000000,N,DEBTCONSOLIDATION
L024,21,7.51,2500000,N,EDUCATION
L051,26,7.51,6100000,N,EDUCATION
L030,23,7.51,28000000,N,PERSONAL
L148,26,7.51,4000000,N,VENTURE
L113,22,7.51,2000000,N,PERSONAL
L001,22,7.51,10625000,N,DEBTCONSOLIDATION
L049,23,7.51,18000000,N,MEDICAL
L044,22,7.51,17475000,N,EDUCATION
L082,24,7.51,17000000,N,DEBTCONSOLIDATION
L080,25,7.49,35000000,N,VENTURE
L012,26,7.49,30000000,N,PERSONAL
L121,26,7.49,28000000,N,VENTURE
L036,24,7.49,24000000,N,VENTURE
L134,24,7.49,6000000,N,PERSONAL
L007,25,7.49,20000000,N,EDUCATION
L066,22,7.49,3500000,N,HOMEIMPROVEMENT
L137,23,7.49,24000000,N,EDUCATION
L147,22,7.49,23400000,N,VENTURE
L103,26,7.49,20500000,N,VENTURE
L022,23,7.49,20375000,N,PERSONAL
L081,23,7.49,1200000,N,MEDICAL
L018,25,7.49,20000000,N,DEBTCONSOLIDATION
L038,23,7.49,20000000,N,MEDICAL
L022,23,7.49,1550000,N,DEBTCONSOLIDATION
L127,22,7.49,20000000,N,PERSONAL
L145,26,7.49,19000000,N,MEDICAL
L087,25,7.49,18500000,N,EDUCATION
L092,24,7.49,2400000,N,EDUCATION
L047,25,7.4,4000000,N,DEBTCONSOLIDATION
L130,24,7.29,1500000,N,PERSONAL
L095,25,7.29,30000000,N,PERSONAL
L004,25,7.29,25000000,N,DEBTCONSOLIDATION
L089,21,7.29,1000000,N,VENTURE
L072,22,7.29,24000000,N,PERSONAL
L122,25,7.29,21450000,N,EDUCATION
L014,21,7.14,2500000,N,VENTURE
L130,22,7.14,4750000,N,DEBTCONSOLIDATION
L066,22,7.14,5500000,N,VENTURE
L088,22,7.14,7200000,N,PERSONAL
L127,22,7.14,2500000,N,MEDICAL
L017,24,6.99,9600000,N,EDUCATION
L048,25,6.99,24000000,N,EDUCATION
L014,22,6.99,20000000,N,VENTURE
L015,23,6.99,7125000,N,PERSONAL
L144,26,6.99,18800000,N,DEBTCONSOLIDATION
L110,24,6.99,4200000,N,VENTURE
L128,24,6.92,10000000,N,VENTURE
L065,21,6.91,20000000,N,EDUCATION
L037,25,6.91,21250000,N,VENTURE
L056,24,6.91,20000000,N,HOMEIMPROVEMENT
L014,25,6.91,20000000,N,DEBTCONSOLIDATION
L110,24,6.91,7750000,N,VENTURE
L135,22,6.91,20000000,N,PERSONAL
L054,26,6.91,20000000,N,MEDICAL
L064,25,6.91,17000000,N,PERSONAL
L008,25,6.62,32000000,N,VENTURE
L032,26,6.62,30000000,N,DEBTCONSOLIDATION
L116,24,6.62,25000000,N,EDUCATION
L030,25,6.62,5875000,N,EDUCATION
L090,21,6.54,20000000,N,VENTURE
L061,25,6.54,24000000,N,VENTURE
L043,24,6.54,6250000,N,HOMEIMPROVEMENT
L140,26,6.54,22000000,N,VENTURE
L090,26,6.54,21000000,N,MEDICAL
L077,23,6.54,20000000,N,EDUCATION
L108,25,6.54,20000000,N,MEDICAL
L145,22,6.54,8500000,N,VENTURE
L067,24,6.54,20000000,N,DEBTCONSOLIDATION
L052,25,6.54,20000000,N,EDUCATION
L016,22,6.54,18725000,N,VENTURE
L041,24,6.54,18000000,N,PERSONAL
L124,23,6.54,17500000,N,VENTURE
L138,26,6.54,17500000,N,VENTURE
L060,24,6.39,3300000,N,HOMEIMPROVEMENT
L032,23,6.39,2000000,N,PERSONAL
L078,22,6.17,9000000,N,DEBTCONSOLIDATION
L046,26,6.17,20000000,N,MEDICAL
L024,23,6.17,2000000,N,EDUCATION
L109,25,6.17,18000000,N,VENTURE
L087,25,6.03,15000000,N,PERSONAL
L095,21,5.99,30000000,N,VENTURE
L117,25,5.99,25000000,N,HOMEIMPROVEMENT
L014,23,5.99,9600000,N,EDUCATION
L014,23,5.99,4000000,N,EDUCATION
L112,26,5.99,4800000,N,MEDICAL
L018,21,5.99,3800000,N,DEBTCONSOLIDATION
L144,24,5.99,8000000,N,MEDICAL
L056,25,5.99,17000000,N,VENTURE
L007,25,5.79,5375000,N,EDUCATION
L022,22,5.79,7500000,N,EDUCATION
L020,25,5.79,4000000,N,VENTURE
L147,23,5.79,4800000,N,PERSONAL
L114,23,5.79,8000000,N,PERSONAL
L069,24,5.42,8000000,N,MEDICAL
L014,24,5.42,8000000,N,PERSONAL
L094,22,5.42,1300000,N,VENTURE
